Simulation number;DPW_ALPHA;DPW_EXPLORATION;MAX_ITERATION;run_time;EARLY_STOP;FORCE_0_FUEL;ALGORITHM;EXPLORATION_CONSTANT;OPTIMAL_ACTION_POLICY;EXP_CONST_DECAY;Average_Cost;Total_Time_Penalty_Cost;Total_Fuel_Cost
3793400;0.3;3;1000;135.276.038.646.698;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;115039;0;115039
3793404;0.3;3;1000;1.259.918.475.151.060;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;115087;0;115087
3793348;0.3;3;1000;8.886.839.628.219.600;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.995;115091;0;115091
3793344;0.3;3;1000;8.092.705.488.204.950;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;115123;0;115123
3793332;0.3;3;2000;1.707.978.129.386.900;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;115191;0;115191
3793372;0.3;3;1000;13.554.087.162.017.800;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.9998;115230;0;115230
3793358;0.2;3;2000;2.184.977.626.800.530;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;115256;0;115256
3793412;0.3;3;1000;18.033.246.278.762.800;True;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;115263;0;115263
3793436;0.3;3;1000;949.010.968.208.313;True;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;115276;0;115276
3793340;0.3;3;1000;8.116.994.619.369.500;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;115327;0;115327
3793328;0.3;3;2000;16.883.872.747.421.200;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;115394;0;115394
3793352;0.3;3;2000;5.443.238.544.464.110;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;115422;0;115422
3793318;0.2;3;2000;119.201.819.896.698;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;115429;0;115429
3793342;0.2;3;1000;5.811.719.655.990.600;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;115515;0;115515
3793370;0.2;3;1000;10.273.921.728.134.100;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.9998;115616;0;115616
3793312;0.3;3;1000;79.129.414.558.410.600;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.995;115703;0;115703
3793414;0.2;3;2000;26.546.634.435.653.600;True;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;115744;0;115744
3793334;0.2;3;1000;6.516.216.039.657.590;False;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.9998;115771;0;115771
3793306;0.2;3;1000;5.402.259.588.241.570;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;115804;0;115804
3793320;0.3;3;2000;16.604.933.500.289.900;False;False;ProgressiveWideningSolver;8000;MIN_REWARD;0.9998;115810;0;115810
3793338;0.2;3;1000;5.748.476.266.860.960;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;115967;0;115967
3793394;0.2;3;2000;186.895.649.433.136;False;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;115971;0;115971
3793354;0.2;3;2000;27.739.657.402.038.500;False;False;ProgressiveWideningSolver;12000;MOST_VISITED;0.9998;115977;0;115977
3793316;0.3;3;1000;7.967.217.683.792.110;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.995;116022;0;116022
3793382;0.2;3;2000;17.502.166.509.628.200;False;False;ProgressiveWideningSolver;15000;MIN_REWARD;0.9998;116173;0;116173
3793438;0.2;3;1000;691.954.231.262.207;True;False;ProgressiveWideningSolver;12000;MIN_REWARD;0.995;116184;0;116184
3793322;0.2;3;2000;11.997.794.389.724.700;False;False;ProgressiveWideningSolver;8000;MOST_VISITED;0.9998;116209;0;116209
3793490;0.2;3;2000;13.585.497.856.140.100;True;False;ProgressiveWideningSolver;15000;MOST_VISITED;0.995;116272;0;116272
