Simulation number,DPW_ALPHA,MAX_ITERATION,run_time,FORCE_0_FUEL,EXPLORATION_CONSTANT,OPTIMAL_ACTION_POLICY,EXP_CONST_DECAY,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
9773728,0.3,10000,561,True,80000,MOST_VISITED,0.9992,1152485,0,1152485
9773730,0.2,20000,978,False,80000,MIN_REWARD,0.9998,1306903,0,1306903
9773732,0.3,20000,1661,False,80000,MIN_REWARD,0.9998,1279466,0,1279466
9773734,0.2,20000,941,False,80000,MOST_VISITED,0.9998,1319921,0,1319921
9773736,0.3,20000,1634,False,80000,MOST_VISITED,0.9998,1236785,0,1236785
9773738,0.2,20000,667,True,80000,MIN_REWARD,0.9998,1227123,0,1227123
9773740,0.3,20000,1144,True,80000,MIN_REWARD,0.9998,1168795,0,1168795
9773742,0.2,20000,636,True,80000,MOST_VISITED,0.9998,1178822,0,1178822
9773744,0.3,20000,1098,True,80000,MOST_VISITED,0.9998,1155020,0,1155020
9773746,0.2,20000,959,False,80000,MIN_REWARD,0.9992,1283158,0,1283158
9773748,0.3,20000,1584,False,80000,MIN_REWARD,0.9992,1275739,0,1275739
9773750,0.2,20000,978,False,80000,MOST_VISITED,0.9992,1303068,0,1303068
9773752,0.3,20000,1835,False,80000,MOST_VISITED,0.9992,1232766,0,1232766
9773754,0.2,20000,769,True,80000,MIN_REWARD,0.9992,1217492,0,1217492
9773756,0.3,20000,1156,True,80000,MIN_REWARD,0.9992,1146380,0,1146380
9773758,0.2,20000,639,True,80000,MOST_VISITED,0.9992,1213565,0,1213565
9773760,0.3,20000,1137,True,80000,MOST_VISITED,0.9992,1137992,0,1137992
9773762,0.2,1000,50,False,120000,MIN_REWARD,0.9998,1286110,0,1286110
9773764,0.3,1000,56,False,120000,MIN_REWARD,0.9998,1271297,0,1271297
9773766,0.2,1000,48,False,120000,MOST_VISITED,0.9998,1278744,0,1278744
9773768,0.3,1000,62,False,120000,MOST_VISITED,0.9998,1294590,0,1294590
9773770,0.2,1000,30,True,120000,MIN_REWARD,0.9998,1254501,0,1254501
9773772,0.3,1000,44,True,120000,MIN_REWARD,0.9998,1178951,0,1178951
9773774,0.2,1000,35,True,120000,MOST_VISITED,0.9998,1224611,0,1224611
9773776,0.3,1000,43,True,120000,MOST_VISITED,0.9998,1192674,0,1192674
9773778,0.2,1000,43,False,120000,MIN_REWARD,0.9992,1298676,0,1298676
9773780,0.3,1000,66,False,120000,MIN_REWARD,0.9992,1294158,0,1294158
9773782,0.2,1000,48,False,120000,MOST_VISITED,0.9992,1319827,0,1319827
9773784,0.3,1000,61,False,120000,MOST_VISITED,0.9992,1289935,0,1289935
9773786,0.2,1000,33,True,120000,MIN_REWARD,0.9992,1212274,0,1212274
9773788,0.3,1000,44,True,120000,MIN_REWARD,0.9992,1182232,0,1182232
9773790,0.2,1000,34,True,120000,MOST_VISITED,0.9992,1213577,0,1213577
9773792,0.3,1000,46,True,120000,MOST_VISITED,0.9992,1142940,0,1142940
9773794,0.2,2000,99,False,120000,MIN_REWARD,0.9998,1240388,0,1240388
9773796,0.3,2000,130,False,120000,MIN_REWARD,0.9998,1221402,0,1221402
9773798,0.2,2000,101,False,120000,MOST_VISITED,0.9998,1308614,0,1308614
9773800,0.3,2000,129,False,120000,MOST_VISITED,0.9998,1276736,0,1276736
9773802,0.2,2000,69,True,120000,MIN_REWARD,0.9998,1190704,0,1190704
9773804,0.3,2000,90,True,120000,MIN_REWARD,0.9998,1138552,0,1138552
9773806,0.2,2000,68,True,120000,MOST_VISITED,0.9998,1240318,0,1240318
9773808,0.3,2000,90,True,120000,MOST_VISITED,0.9998,1132052,0,1132052
9773810,0.2,2000,99,False,120000,MIN_REWARD,0.9992,1315879,0,1315879
9773812,0.3,2000,128,False,120000,MIN_REWARD,0.9992,1264944,0,1264944
9773814,0.2,2000,100,False,120000,MOST_VISITED,0.9992,1325392,0,1325392
9773816,0.3,2000,134,False,120000,MOST_VISITED,0.9992,1289324,0,1289324
9773818,0.2,2000,71,True,120000,MIN_REWARD,0.9992,1151006,0,1151006
9773820,0.3,2000,86,True,120000,MIN_REWARD,0.9992,1175552,0,1175552
9773822,0.2,2000,72,True,120000,MOST_VISITED,0.9992,1172659,0,1172659
